"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
113,"00:00:00",9.201,8.474,7.055,6.556,3.449,6.477,1.868,6.395,7.493,2.617
25,"00:00:00",2.936,5.83,9.326,9.482,5.198,7.841,2.576,0.13,1.884,9.108
152,"00:00:00",6.569,5.779,3.178,8.309,4.239,7.516,6.873,3.409,1.673,2.171
144,"00:00:00",3.758,4.187,0.044,5.29,7.434,3.633,9.069,0.419,0.456,1.891
45,"00:00:00",5.031,3.063,4.684,3.751,5.658,0.406,6.374,6.2,3.222,9.111
131,"00:00:00",5.891,5.694,0.974,1.924,7.048,7.997,4.306,2.613,9.141,2.881
98,"00:00:00",9.876,4.583,1.745,6.216,9.491,5.422,2.343,8.521,0.691,1.34
2,"00:00:00",5.279,1.188,2.024,0.838,7.41,0.882,2.403,1.548,7.365,2.163
142,"00:00:00",3.503,0.852,7.675,8.054,4.06,3.255,2.101,7.67,9.709,5.0
149,"00:00:00",2.138,1.556,7.084,9.422,3.427,4.854,9.119,5.336,7.757,5.487
