"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
89,"00:00:00",4.43,7.273,6.531,5.353,2.651,6.321,6.269,3.0,0.002,4.329
15,"00:00:00",0.662,2.66,2.67,3.301,2.804,0.092,4.213,8.425,8.626,8.8
24,"00:00:00",7.654,6.006,3.594,4.82,9.307,1.721,6.887,5.695,7.397,4.484
12,"00:00:00",4.025,3.594,1.361,3.855,7.918,4.78,5.602,4.446,5.615,1.506
6,"00:00:00",1.448,6.46,4.751,9.337,8.761,7.107,5.153,0.914,0.422,4.971
73,"00:00:00",7.992,6.447,5.839,2.393,5.084,9.243,7.11,4.432,9.02,8.73
22,"00:00:00",0.839,7.45,4.416,0.502,0.298,4.152,8.36,0.974,7.623,0.503
108,"00:00:00",3.693,6.991,3.811,6.762,2.544,2.742,3.107,7.219,4.498,6.937
28,"00:00:00",1.233,7.421,2.708,8.535,0.937,4.955,2.231,7.063,9.352,1.757
151,"00:00:00",9.192,1.847,8.641,8.669,5.297,0.582,7.479,9.489,8.648,8.477
