"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
51,"00:00:00",3.147,4.495,2.858,2.434,0.906,3.257,6.796,0.683,1.814,9.435
81,"00:00:00",5.793,4.298,9.872,8.313,5.307,0.936,1.526,5.116,5.152,1.716
41,"00:00:00",4.27,0.775,8.634,0.077,5.581,6.394,7.104,2.624,0.133,3.812
63,"00:00:00",1.41,8.828,5.596,5.995,0.578,4.81,4.733,7.561,7.582,5.753
8,"00:00:00",0.796,7.433,3.324,1.046,3.406,7.538,8.289,2.708,0.195,4.775
116,"00:00:00",3.693,0.961,1.185,9.112,1.308,4.539,6.885,2.234,8.752,1.799
7,"00:00:00",8.19,8.241,2.389,7.34,0.482,0.268,0.286,0.281,6.412,5.055
97,"00:00:00",9.678,9.693,1.995,1.66,1.914,1.011,3.526,6.23,5.605,9.216
168,"00:00:00",2.735,4.504,7.627,6.375,7.676,5.86,5.178,4.704,2.096,8.247
112,"00:00:00",4.628,7.855,5.911,4.277,7.23,5.182,2.919,9.607,0.313,2.934
