"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
185,"00:00:00",6.814,0.509,2.208,4.034,9.414,7.178,7.708,7.039,5.369,4.841
3,"00:00:00",3.355,7.361,6.949,6.753,9.83,5.631,6.257,3.594,2.957,8.131
190,"00:00:00",2.038,2.988,0.266,4.516,2.012,5.02,7.838,1.033,9.262,7.961
20,"00:00:00",6.337,9.467,3.584,7.576,0.8,7.119,8.279,7.557,4.612,5.454
19,"00:00:00",6.781,0.826,3.295,8.493,1.293,5.979,3.719,5.15,7.924,5.975
2,"00:00:00",5.718,5.43,6.333,0.57,7.584,3.964,0.947,0.5,9.883,4.986
142,"00:00:00",1.349,7.567,2.38,3.618,9.732,7.296,9.256,5.432,4.145,6.007
120,"00:00:00",0.273,0.319,8.54,5.472,8.333,4.596,3.197,8.267,6.002,6.561
94,"00:00:00",0.806,3.466,6.738,7.315,3.019,8.014,0.519,3.967,5.185,7.344
132,"00:00:00",9.13,7.042,6.95,4.888,6.699,8.072,6.655,4.93,4.265,1.819
