"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
74,"00:00:00",9.352,7.555,1.428,4.65,6.465,6.577,7.978,4.79,2.853,2.707
56,"00:00:00",8.703,8.782,1.15,4.166,6.173,2.182,2.193,3.673,9.687,5.866
150,"00:00:00",0.13,9.604,4.883,4.359,3.379,5.49,7.432,5.316,8.163,7.006
25,"00:00:00",8.51,9.893,5.461,4.145,6.886,7.497,2.527,5.352,1.065,2.051
11,"00:00:00",5.614,9.316,3.615,1.3,3.803,6.091,3.306,9.857,1.456,2.454
167,"00:00:00",7.932,4.366,0.911,8.927,4.955,4.989,3.395,4.328,9.748,7.192
62,"00:00:00",4.389,7.502,5.131,3.25,9.197,3.896,9.062,5.713,1.246,5.282
78,"00:00:00",7.849,6.99,7.484,9.634,9.757,9.887,0.869,5.805,2.985,9.871
189,"00:00:00",0.584,1.035,9.833,6.367,1.898,4.962,3.718,6.22,1.322,2.222
59,"00:00:00",3.435,2.106,8.242,0.392,5.761,0.774,9.271,6.863,9.41,7.25
