"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
185,"00:00:00",6.978,8.12,1.334,1.251,5.411,8.109,2.976,4.345,4.905,0.768
175,"00:00:00",7.044,2.204,4.299,0.666,8.713,4.383,9.277,5.338,7.304,7.617
33,"00:00:00",1.502,0.255,6.028,8.843,5.551,7.265,4.745,7.283,2.666,6.296
48,"00:00:00",3.675,5.618,2.34,5.306,3.816,6.034,4.091,4.254,9.683,2.42
56,"00:00:00",4.095,8.669,2.32,6.859,8.845,9.48,2.028,4.039,8.691,0.977
181,"00:00:00",9.184,6.296,6.315,2.373,9.627,5.288,6.616,7.667,0.411,7.938
77,"00:00:00",6.108,5.098,9.477,4.266,8.244,1.04,4.431,4.959,2.786,1.755
128,"00:00:00",7.654,1.182,1.929,9.383,4.266,3.902,2.789,1.458,3.005,8.16
75,"00:00:00",6.102,7.237,0.341,5.851,8.178,3.997,7.323,9.265,6.146,7.453
103,"00:00:00",7.313,8.122,5.49,9.57,1.229,7.796,4.414,8.688,3.781,6.192
